YEAR,DJIA,Wilshire_5000,S&P500,3_Month_Treasury,10_Year_Treasury
1898,0.22,,,,
1899,0.09,,,,
1900,0.08,,,,
1901,-0.09,,,,
1902,0,,,,
1903,-0.24,,,,
1904,0.43,,,,
1905,0.38,,,,
1906,-0.02,,,,
1907,-0.38,,,,
1908,0.47,,,,
1909,0.15,,,,
1910,-0.18,,,,
1911,0,,,,
1912,0.08,,,,
1913,-0.1,,,,
1914,-0.31,,,,
1915,0.82,,,,
1916,-0.04,,,,
1917,-0.22,,,,
1918,0.11,,,,
1919,0.3,,,,
1920,-0.33,,,,
1921,0.12,,,,
1922,0.21,,,,
1923,-0.03,,,,
1924,0.26,,,,
1925,0.3,,,,
1926,0,,,,
1927,0.28,,,,
1928,0.49,,0.4381,0.0308,0.0084
1929,-0.17,,-0.083,0.0316,0.042
1930,-0.34,,-0.2512,0.0455,0.0454
1931,-0.53,,-0.4384,0.0231,-0.0256
1932,-0.23,,-0.0864,0.0107,0.0879
1933,0.64,,0.4998,0.0096,0.0186
1934,0.05,,-0.0119,0.0032,0.0796
1935,0.39,,0.4674,0.0018,0.0447
1936,0.25,,0.3194,0.0017,0.0502
1937,-0.33,,-0.3534,0.003,0.0138
1938,0.28,,0.2928,0.0008,0.0421
1939,-0.03,,-0.011,0.0004,0.0441
1940,-0.13,,-0.1067,0.0003,0.054
1941,-0.15,,-0.1277,0.0008,-0.0202
1942,0.08,,0.1917,0.0034,0.0229
1943,0.14,,0.2506,0.0038,0.0249
1944,0.12,,0.1903,0.0038,0.0258
1945,0.27,,0.3582,0.0038,0.038
1946,-0.08,,-0.0843,0.0038,0.0313
1947,0.02,,0.052,0.0057,0.0092
1948,-0.02,,0.057,0.0102,0.0195
1949,0.13,,0.183,0.011,0.0466
1950,0.17,,0.3081,0.0117,0.0043
1951,0.14,,0.2368,0.0148,-0.003
1952,0.08,,0.1815,0.0167,0.0227
1953,-0.04,,-0.0121,0.0189,0.0414
1954,0.44,,0.5256,0.0096,0.0329
1955,0.21,,0.326,0.0166,-0.0134
1956,0.02,,0.0744,0.0256,-0.0226
1957,-0.13,,-0.1046,0.0323,0.068
1958,0.34,,0.4372,0.0178,-0.021
1959,0.16,,0.1206,0.0326,-0.0265
1960,-0.09,,0.0034,0.0305,0.1164
1961,0.19,,0.2664,0.0227,0.0206
1962,-0.11,,-0.0881,0.0278,0.0569
1963,0.17,,0.2261,0.0311,0.0168
1964,0.15,,0.1642,0.0351,0.0373
1965,0.11,,0.124,0.039,0.0072
1966,-0.19,,-0.0997,0.0484,0.0291
1967,0.15,,0.238,0.0433,-0.0158
1968,0.04,,0.1081,0.0526,0.0327
1969,-0.15,,-0.0824,0.0656,-0.0501
1970,0.05,,0.0356,0.0669,0.1675
1971,0.06,,0.1422,0.0454,0.0979
1972,0.15,,0.1876,0.0395,0.0282
1973,-0.17,,-0.1431,0.0673,0.0366
1974,-0.28,,-0.259,0.0778,0.0199
1975,0.38,,0.37,0.0599,0.0361
1976,0.18,,0.2383,0.0497,0.1598
1977,-0.17,,-0.0698,0.0513,0.0129
1978,-0.03,,0.0651,0.0693,-0.0078
1979,0.04,,0.1852,0.0994,0.0067
1980,0.15,,0.3174,0.1122,-0.0299
1981,-0.09,,-0.047,0.143,0.082
1982,0.2,,0.2042,0.1101,0.3281
1983,0.2,0.1874,0.2234,0.0845,0.032
1984,-0.04,-0.0125,0.0615,0.0961,0.1373
1985,0.28,0.2719,0.3124,0.0749,0.2571
1986,0.23,0.1248,0.1849,0.0604,0.2428
1987,0.02,-0.0073,0.0581,0.0572,-0.0496
1988,0.12,0.1329,0.1654,0.0645,0.0822
1989,0.27,0.2489,0.3148,0.0811,0.1769
1990,-0.04,-0.0931,-0.0306,0.0755,0.0624
1991,0.2,0.303,0.3023,0.0561,0.15
1992,0.04,0.0615,0.0749,0.0341,0.0936
1993,0.14,0.0858,0.0997,0.0298,0.1421
1994,0.02,-0.0252,0.0133,0.0399,-0.0804
1995,0.33,0.334,0.372,0.0552,0.2348
1996,0.26,0.1884,0.2268,0.0502,0.0143
1997,0.23,0.2917,0.331,0.0505,0.0994
1998,0.16,0.2172,0.2834,0.0473,0.1492
1999,0.25,0.2205,0.2089,0.0451,-0.0825
2000,-0.06,-0.1185,-0.0903,0.0576,0.1666
2001,-0.07,-0.1206,-0.1185,0.0367,0.0557
2002,-0.17,-0.2208,-0.2197,0.0166,0.1512
2003,0.25,0.2944,0.2836,0.0103,0.0038
2004,0.03,0.1085,0.1074,0.0123,0.0449
2005,-0.01,0.0457,0.0483,0.0301,0.0287
2006,0.16,0.139,0.1561,0.0468,0.0196
2007,0.06,0.0394,0.0548,0.0464,0.1021
2008,-0.34,-0.3868,-0.3655,0.0159,0.201
2009,0.19,0.2723,0.2594,0.0014,-0.1112
2010,0.11,0.1555,0.1482,0.0013,0.0846
2011,0.06,-0.0127,0.021,0.0003,0.1604
2012,0.07,0.1369,0.1589,0.0005,0.0297
2013,,,0.3215,0.0007,-0.091
